"","index","genres","keywords","title"
"1970",1969,"Romance Comedy Drama","transplantation love of one's life veterinarian woman director","Return to Me"
"1971",1970,"Comedy","pornography love of one's life platonic love pornographic video best friend","Zack and Miri Make a Porno"
"1972",1971,"Comedy Crime Thriller","independent film native american violence soap opera used car dealer","Nurse Betty"
"1973",1972,"Comedy War","vietnam veteran kuwait new age staring contest drug use","The Men Who Stare at Goats"
"1974",1973,"Adventure Drama Action Comedy Romance","mexico cia fbi train","Double Take"
"1975",1974,"Drama","based on novel suicide attempt puberty biography borderline personality disorder","Girl, Interrupted"
"1976",1975,"Comedy Romance","celebrity romantic comedy male female relationship movie star","Win a Date with Tad Hamilton!"
"1977",1976,"Fantasy Comedy Science_Fiction Family","puppet the muppets","Muppets from Space"
"1978",1977,"Adventure Family Fantasy Music","melancholy little dog based on stage musical based on film wizard","The Wiz"
"1979",1978,"Action Comedy Drama","wrestling sport","Ready to Rumble"
"1980",1979,"Comedy Drama","sport","Play It to the Bone"
"1981",1980,"Romance Comedy","pregnancy family vacation widower working mum in-laws","I Don't Know How She Does It"
"1982",1981,"Comedy Horror","yacht movie in movie scuba diving piranha spring break","Piranha 3D"
"1983",1982,"Drama Music","musical perfectionist rowboat courtship","Beyond the Sea"
"1984",1983,"Animation Comedy Family","","Meet the Deedles"
"1985",1984,"Adventure Fantasy Animation Science_Fiction Family","prophecy witch princess battle desert","The Thief and the Cobbler"
"1986",1985,"Romance Drama","based on novel bridge peru period drama 18th century","The Bridge of San Luis Rey"
"1987",1986,"Crime Drama Action Thriller","","Faster"
"1988",1987,"Fantasy Animation Adventure","flying witch rain castle scarecrow","Howl's Moving Castle"
"1989",1988,"Comedy Horror","washington d.c. sister sister relationship post-apocalyptic road trip blood splatter","Zombieland"
"1990",1989,"Comedy","sport social outcast ridicule lawn mower deserted by husband","The Waterboy"
"1991",1990,"Adventure Action Science_Fiction","rebel android asteroid space battle snow storm","The Empire Strikes Back"
"1992",1991,"Action Comedy Crime Thriller","miami detective handcuffs airport mexican standoff","Bad Boys"
"1993",1992,"Comedy Crime","washington d.c. usa president spoof the white house","The Naked Gun 2½: The Smell of Fear"
"1994",1993,"Horror","omen airplane accident corpse death near-death experience","Final Destination"
"1995",1994,"Drama","ohio politics dirty tricks presidential campaign endorsement","The Ides of March"
"1996",1995,"Thriller Science_Fiction Action","darkness dystopia comet alien life-form survival","Pitch Black"
"1997",1996,"Comedy Romance","feminism cohabitant tv show man-woman relation man between two women","Someone Like You..."
"1998",1997,"Romance Science_Fiction Drama","artificial intelligence computer love loneliness transhumanism","Her"
"1999",1998,"Mystery Thriller Drama","colorado friendship stalker pokies truck driver","Joy Ride"
"2000",1999,"Fantasy Adventure Family","london england based on novel key adventure supernatural","The Adventurer: The Curse of the Midas Box"
"2001",2000,"Drama Comedy Romance","dream","Anywhere But Here"
"2002",2001,"Action Comedy","","The Crew"
"2003",2002,"Action Thriller","mercenary secret agent rescue foot chase spanish","Haywire"
"2004",2003,"Adventure Thriller","shark attack bahamas dying and death aggression by animal sequel","Jaws: The Revenge"
"2005",2004,"Drama","sister sister relationship sister leukemia reunion cancer","Marvin's Room"
"2006",2005,"Drama Family","","The Longshots"
"2007",2006,"Drama","bomb sex jealousy infidelity obsession","The End of the Affair"
"2008",2007,"Action Thriller","corruption harley davidson drug dealer los angeles las vegas","Harley Davidson and the Marlboro Man"
"2009",2008,"History Drama Thriller Crime Mystery","father son relationship detective war crimes patriotism homicide","In the Valley of Elah"
"2010",2009,"Drama History","fashion designer woman director","Coco Before Chanel"
"2011",2010,"Western Drama","","Forsaken"
"2012",2011,"Drama Comedy Romance","","Cheri"
"2013",2012,"Drama Romance","london england british empire lover advancement aristocrat","Vanity Fair"
"2014",2013,"Drama Action History","assassination martial arts sword blood splatter impalement","Bodyguards and Assassins"
"2015",2014,"Horror Thriller","suicide new york hotel fire hotel room","1408"
"2016",2015,"Comedy Science_Fiction","android lasergun swordplay temple space marine","Spaceballs"
"2017",2016,"War Drama","istanbul australia post world war i farmer missing in action","The Water Diviner"
"2018",2017,"Fantasy Drama Thriller Mystery Romance","corruption fortune teller money transfer money laundering pottery","Ghost"
"2019",2018,"Romance Comedy","surgeon stalker romantic comedy dream girl taboo","There's Something About Mary"
"2020",2019,"Fantasy Drama Comedy Family","holiday christmas party santa claus deal christmas tree","The Santa Clause"
"2021",2020,"Drama Family","father son relationship baseball sports team sport life's dream","The Rookie"
"2022",2021,"Comedy Family","american football bachelor sports team sport aerobics","The Game Plan"
"2023",2022,"Drama Romance","farewell adultery love at first sight photographer wife husband relationship","The Bridges of Madison County"
"2024",2023,"Action Comedy","dream employee car crash scientist police officer","The Animal"
"2025",2024,"Drama History","muslim indian lead demonstration world war ii imprisonment","Gandhi"
"2026",2025,"Drama","france based on novel indian lead restaurant family","The Hundred-Foot Journey"
"2027",2026,"Crime Drama Mystery Thriller Action","cheating new identity computer virus chase computer","The Net"
"2028",2027,"Drama","foster parents pro bono new baby social services learning","I Am Sam"
"2029",2028,"Drama","biography resurrection","Son of God"
"2030",2029,"Fantasy Action Thriller","budapest subway love of one's life vampire bite","Underworld"
"2031",2030,"Drama Thriller","prison chicago rape based on novel hotel room","Derailed"
"2032",2031,"Drama Comedy Crime","agriculture company witness to murder","The Informant!"
"2033",2032,"Drama Romance","bachelor stroke of fate brother oxford author","Shadowlands"
"2034",2033,"Comedy","painter amsterdam dolphin europe pimp","Deuce Bigalow: European Gigolo"
"2035",2034,"Comedy","remake sperm donor","Delivery Man"
"2036",2035,"Thriller","based on novel woman director","Our Kind of Traitor"
"2037",2036,"Comedy Crime Romance","female nudity harassment male friendship dark comedy director cameo","Saving Silverman"
"2038",2037,"Comedy Family","best friend sweet sixteen duringcreditsstinger","Diary of a Wimpy Kid: Dog Days"
"2039",2038,"Thriller Drama Crime Romance","distrust intolerance punk rock italian american summer","Summer of Sam"
"2040",2039,"Comedy","film making jay and silent bob self mocking character is subject of comic reference to prince valiant","Jay and Silent Bob Strike Back"
"2041",2040,"Drama Thriller","california brother sister relationship loss of parents suspense psychological thriller","The Glass House"
"2042",2041,"Comedy Drama Mystery","journalist cat ransom kidnapping ancient rome","Hail, Caesar!"
"2043",2042,"Comedy Music","manager pop secret small town garage","Josie and the Pussycats"
"2044",2043,"Action Thriller","based on novel drug dealer ex-cop rural setting undercover cop","Homefront"
"2045",2044,"Family Horror","based on novel vampire bite independent film fang vamp","The Little Vampire"
"2046",2045,"Comedy Romance","sex detective jealousy humor protest","I Heart Huckabees"
"2047",2046,"Action Adventure Crime Science_Fiction Thriller","cyborg dystopia police sequel cyberpunk","RoboCop 3"
"2048",2047,"Action Science_Fiction Thriller","dystopia","Megiddo: The Omega Code 2"
"2049",2048,"Drama Comedy Thriller Music Romance","spy uncle","Darling Lili"
"2050",2049,"Comedy Family Romance","based on cartoon mountie","Dudley Do-Right"
"2051",2050,"Thriller Action Crime","transporter sequel suspense car bank heist","The Transporter Refueled"
"2052",2051,"Drama Romance","london england sex dying and death poet theatre milieu","The Libertine"
"2053",2052,"Drama Thriller War","in love with enemy netherlands world war ii prosecution","Black Book"
"2054",2053,"Romance Drama History War Music","holiday world war i hostility singer singing","Joyeux Noël"
"2055",2054,"Action Comedy Romance","witness protection getaway driver duringcreditsstinger","Hit & Run"
"2056",2055,"Action Comedy Crime","gang hoodlum woman director","Mad Money"
"2057",2056,"Mystery Thriller","amnesia therapist aggression hospital flashback","Before I Go to Sleep"
"2058",2057,"Action Thriller Adventure","dynamite car journey nicaragua criminal bandit","Sorcerer"
"2059",2058,"Drama","prison fire manipulation seduction vegetarian","Stone"
"2060",2059,"Romance Drama Comedy","playwright","Moliere"
"2061",2060,"Thriller Drama Crime","prison brother brother relationship drug dealer brother revenge","Out of the Furnace"
"2062",2061,"Drama Mystery Crime","killing restaurant chambers of a barrister scandal pretended suicide","Michael Clayton"
"2063",2062,"Comedy Drama","white house usa president national security agency (nsa) danger sable","My Fellow Americans"
"2064",2063,"Drama Thriller Mystery","bomb terrorist fbi professor paranoia","Arlington Road"
"2065",2064,"Animation Adventure Romance","soccer","Underdogs"
"2066",2065,"Romance Comedy","rome expatriate episodic","To Rome with Love"
"2067",2066,"Science_Fiction Action Adventure Thriller","flying pilot kampfjet false identity assault","Firefox"
"2068",2067,"Animation Comedy Music","gay mount rushmore national memorial swear word mephisto hell","South Park: Bigger, Longer & Uncut"
"2069",2068,"Comedy Drama","brother brother relationship farewell father son relationship age difference parents kids relationship","Death at a Funeral"
"2070",2069,"Action Adventure Comedy Family Fantasy","japan time travel ninja","Teenage Mutant Ninja Turtles III"
"2071",2070,"Comedy Romance","gay","Hardball"
"2072",2071,"Drama Comedy Romance","dancing philadelphia running based on novel depression","Silver Linings Playbook"
"2073",2072,"Crime Drama","black people based on novel holocaust ghetto diary","Freedom Writers"
"2074",2073,"Drama","female nudity poem rape love domestic violence","For Colored Girls"
"2075",2074,"Action Crime Thriller","car journey transportation auto human trafficking","The Transporter"
"2076",2075,"Drama Action","rebel martial arts underground fight training","Never Back Down"
"2077",2076,"Horror Thriller Science_Fiction","suicide male nudity female nudity fire nudity","The Rage: Carrie 2"
"2078",2077,"Drama Comedy Romance","interracial relationship dead father reference to bob dylan biracial bedtime story","Away We Go"
"2079",2078,"Drama Comedy","usa president presidential election fox news","Swing Vote"
"2080",2079,"Romance Drama","","Moonlight Mile"
"2081",2080,"Drama Thriller Mystery","spy cold war spying espionage mole","Tinker Tailor Soldier Spy"
"2082",2081,"Drama Comedy Romance","","Molly"
"2083",2082,"Drama","puppet woman director","The Beaver"
"2084",2083,"Comedy","brothel corset crusader musical governor","The Best Little Whorehouse in Texas"
"2085",2084,"Action Thriller Science_Fiction Horror","video game hacker bodyguard pop star virtual reality","eXistenZ"
"2086",2085,"Adventure Action","saving the world riddle nepal himalaya cairo","Raiders of the Lost Ark"
"2087",2086,"Comedy Family Adventure Crime","holiday new york new york city christmas","Home Alone 2: Lost in New York"
"2088",2087,"Science_Fiction Drama","indiana obsession extraterrestrial technology evacuation blackout","Close Encounters of the Third Kind"
"2089",2088,"Horror Thriller","suicide hacker death of a friend website remake","Pulse"
"2090",2089,"Action Comedy Crime","smuggling of arms detective intensive care undercover strip club","Beverly Hills Cop II"
"2091",2090,"Comedy","prison ex-boyfriend support escape lawyer","Bringing Down the House"
"2092",2091,"Crime Drama Thriller","based on novel psychopath horror suspense serial killer","The Silence of the Lambs"
"2093",2092,"Music Comedy","tv show heavy metal television producer woman director","Wayne's World"
"2094",2093,"Comedy Documentary Action","pain stunts stuntman stupidity comedy","Jackass 3D"
"2095",2094,"Horror Thriller","mayor island police chief sailing boat accident","Jaws 2"
"2096",2095,"Adventure Comedy Family","dog dirt chihuahua pinata potted plant duringcreditsstinger","Beverly Hills Chihuahua"
"2097",2096,"Horror Thriller","sister sister relationship exorcism rhode island based on true story farmhouse","The Conjuring"
"2098",2097,"Adventure Comedy Family Romance","car journey macho road trip children pretty woman","Are We There Yet?"
"2099",2098,"Comedy","","Tammy"
"2100",2099,"Comedy Music","rock and roll rock high school music band","School of Rock"
"2101",2100,"Action Fantasy","martial arts monster island gore sorcerer","Mortal Kombat"
"2102",2101,"Comedy","undercover fbi fish out of water high society buddy cop","White Chicks"
"2103",2102,"Comedy Drama","hawaii father-in-law daughter cheating wife beach house","The Descendants"
"2104",2103,"Adventure Family Drama Comedy","curse suitor false accusations reference to annabel lee digging","Holes"
"2105",2104,"Drama Family Romance","brother sister relationship new love daughter summer vacation woman director","The Last Song"
"2106",2105,"Drama History","whip kidnapping slavery plantation night shift","12 Years a Slave"
"2107",2106,"Drama Romance Comedy Music","music rehearsal fraternity initiation television broadcast white male pretending to be black sorority party","Drumline"
"2108",2107,"Comedy Romance","","Why Did I Get Married Too?"
"2109",2108,"Fantasy Drama Romance","underdog love at first sight hairdresser small town scissors","Edward Scissorhands"
"2110",2109,"Drama Romance","england based on novel depression small town wheelchair","Me Before You"
"2111",2110,"Drama Comedy Crime","","Madea's Witness Protection"
"2112",2111,"Action Crime Thriller","police brutality marseille night life attempted murder drug dealer","The French Connection"
"2113",2112,"Comedy","alcohol bar party divorce family","Bad Moms"
"2114",2113,"Comedy","date diary parents-in-law bridegroom wedding","Date Movie"
"2115",2114,"Adventure Fantasy Animation Family","animation","Return to Never Land"
"2116",2115,"History Drama","alabama martin luther king president black american civil rights","Selma"
"2117",2116,"Family Animation Adventure","river musical tiger village feral child","The Jungle Book 2"
"2118",2117,"Thriller Horror Drama Mystery","nightmare hallucination childhood trauma break-up hometown","Boogeyman"
"2119",2118,"Thriller Drama Mystery","deja vu dying and death time travel loss of husband car crash","Premonition"
"2120",2119,"Animation Family","owl donkey tiger piglet bear","The Tigger Movie"
"2121",2120,"Horror Thriller Mystery","nun deaf-mute orphan all girl troubled marriage","Orphan"
"2122",2121,"Adventure Drama Family","afghanistan war based on true story rescue betrayal","Max"
"2123",2122,"Action Adventure Comedy","","Epic Movie"
"2124",2123,"Drama Thriller History","child abuse journalism judge florida boston","Spotlight"
"2125",2124,"Drama Crime Thriller","vandalism harassment neighbor house party shot to death","Lakeview Terrace"
"2126",2125,"Horror Thriller","remake little boy curse","The Grudge 2"
"2127",2126,"Comedy Drama Romance","black people age difference jamaica vacation female protagonist","How Stella Got Her Groove Back"
"2128",2127,"Adventure Comedy Family Fantasy Science_Fiction","future dying and death heaven time travel heavy metal","Bill & Ted's Bogus Journey"
"2129",2128,"Comedy Drama Romance Thriller","usa president presidential election comedian","Man of the Year"
"2130",2129,"Adventure Family Science_Fiction Action","killer robot space marine ghost ship black hole","The Black Hole"
"2131",2130,"Crime Drama Thriller","prostitute sweden suspense priest very little dialogue","The American"
"2132",2131,"Drama","musical tejano elopement bustier fan club","Selena"
"2133",2132,"Horror Comedy","vampire high school prom spoof horror spoof","Vampires Suck"
"2134",2133,"Drama","terror loss of mother gun morocco deaf-mute","Babel"
"2135",2134,"Drama Comedy","based on novel funeral dysfunctional family death of father man child","This Is Where I Leave You"
"2136",2135,"Drama Mystery","sexual abuse boy wine gift janitor","Doubt"
"2137",2136,"Music Adventure Animation Action Comedy","paris france cairo capitalism loss of lover","Team America: World Police"
"2138",2137,"Horror Thriller","sequel gore leatherface slasher chainsaw","Texas Chainsaw 3D"
"2139",2138,"Drama Thriller","police brutality psychology police operation police protection serial killer","Copycat"
"2140",2139,"Comedy","sequel parody spoof aftercreditsstinger duringcreditsstinger","Scary Movie 5"
"2141",2140,"Drama Action Comedy Western Music","mining prospector","Paint Your Wagon"
"2142",2141,"History Drama","gay san francisco homophobia mayor biography","Milk"
"2143",2142,"Action","christianity jesus christ apostle crucifixion jerusalem","Risen"
"2144",2143,"Horror Mystery Thriller","cruise pilot ghost ship","Ghost Ship"
"2145",2144,"Comedy","holiday indian lead beer christmas tree cannabis","A Very Harold & Kumar Christmas"
"2146",2145,"Crime Drama Mystery","upper class poison sailboat rape sexual abuse","Wild Things"
"2147",2146,"Horror Thriller Mystery","step father remake","The Stepfather"
"2148",2147,"Drama Thriller","beach mossad secret agent insane asylum lye","The Debt"
"2149",2148,"Comedy Drama Romance Music","chicago music record rock and roll record store soul","High Fidelity"
"2150",2149,"Horror Mystery Thriller","candy loss of sister mobile phone answering machine dying and death","One Missed Call"
"2151",2150,"Drama Thriller","rape gun self-defense grieving parents","Eye for an Eye"
"2152",2151,"Thriller Crime Drama","infidelity subway car dealer vault mannequin","The Bank Job"
"2153",2152,"Science_Fiction Drama Romance","deja vu regret jealousy amnesia dream","Eternal Sunshine of the Spotless Mind"
"2154",2153,"Comedy Romance","brother sister relationship marriage bully duringcreditsstinger","You Again"
"2155",2154,"Action Crime Drama Thriller","police los angeles","Street Kings"
"2156",2155,"Comedy Action Science_Fiction","end of the world apocalypse trilogy homage","The World's End"
"2157",2156,"Action Adventure Crime Family Mystery","california detective based on novel dream kidnapping","Nancy Drew"
"2158",2157,"Fantasy Horror Action Thriller Science_Fiction","female nudity sunrise waitress experiment rain","Daybreakers"
"2159",2158,"Comedy Romance","confidence romantic comedy dating insecurity airport security","She's Out of My League"
"2160",2159,"Adventure Comedy Romance","monte carlo mistaken identity look-alike young woman texan","Monte Carlo"
"2161",2160,"Horror Thriller","video game hacker virtual reality virtual fight baroness","Stay Alive"
"2162",2161,"Romance Action Adventure Western Drama","australian chase","Quigley Down Under"
"2163",2162,"Family Animation","wolf arranged marriage forbidden love road trip park","Alpha and Omega"
"2164",2163,"Action Adventure Fantasy Horror Science_Fiction","magic male friendship college supernatural powers teenager","The Covenant"
"2165",2164,"Comedy Drama","gymnastics trainer puberty training sport","Stick It"
"2166",2165,"Comedy Family","","Shorts"
"2167",2166,"Fantasy Drama Comedy Thriller","adultery winter obsession television new hampshire","To Die For"
"2168",2167,"Mystery Adventure Crime","based on novel technology internet hacking teenager","Nerve"
"2169",2168,"Drama Western Crime","small town rancher","Appaloosa"
"2170",2169,"Action Drama Fantasy Horror Thriller","based on novel new mexico party vampire hunter revenge","Vampires"
"2171",2170,"Drama Horror Thriller","hotel clerk arizona shower rain","Psycho"
"2172",2171,"Romance Comedy","date sex bar test friendship","My Best Friend's Girl"
"2173",2172,"Drama Romance","teenage romance","Endless Love"
"2174",2173,"Comedy Drama Romance","grandmother granddaughter relationship promiscuity mother daughter relationship summer teenager","Georgia Rule"
"2175",2174,"Comedy","","Under the Rainbow"
"2176",2175,"Adventure Drama Fantasy Romance","moon monk swordplay bishop cathedral","Ladyhawke"
"2177",2176,"Comedy Drama Family","illegitimate son","Simon Birch"
"2178",2177,"Drama","confidence trauma leaving one's family childhood memory airplane","Reign Over Me"
"2179",2178,"Adventure Drama","male nudity parents kids relationship camping cutting the cord self-discovery","Into the Wild"
"2180",2179,"Comedy Drama Romance","date competition lovesickness mentor traffic policeman","School for Scoundrels"
"2181",2180,"Thriller Horror Mystery","female protagonist another dimension based on video game mall occult ritual","Silent Hill: Revelation 3D"
"2182",2181,"Horror Action Thriller Crime","dancing brother brother relationship sexual obsession showdown sheriff","From Dusk Till Dawn"
"2183",2182,"Animation Family","","Pooh's Heffalump Movie"
"2184",2183,"Comedy Drama Romance","baltimore thanksgiving family clan family conflict generations conflict","Home for the Holidays"
"2185",2184,"Action Comedy Crime Fantasy","kung fu magic mafia defense gangster","Kung Fu Hustle"
"2186",2185,"Adventure Comedy Family","human animal relationship musical clowning bear social satire","The Country Bears"
"2187",2186,"Drama","1970s afghanistan hang gliding war in afghanistan taliban","The Kite Runner"
"2188",2187,"Drama Crime Thriller","life and death transplantation suicide attempt desperation loss of family","21 Grams"
"2189",2188,"Action Drama Thriller","independent film","Paparazzi"
"2190",2189,"Comedy Romance","infidelity bachelor blackmail fantasy truth","A Guy Thing"
"2191",2190,"Drama Comedy Romance Family","college lost and found older brother younger sister woman director young adult","Loser"
"2192",2191,"Documentary","usa capitalism capitalist wall street criticism and blame","Capitalism: A Love Story"
"2193",2192,"Drama History","jesus christ biography epic","The Greatest Story Ever Told"
"2194",2193,"Crime Drama Mystery","fbi missing child","Secret in Their Eyes"
"2195",2194,"Action Comedy","natural disaster violence mortal danger duringcreditsstinger","Disaster Movie"
"2196",2195,"Action Crime Drama Thriller","robbery homeless person bank armored car truck","Armored"
"2197",2196,"Comedy Thriller Crime Action","london england bomb brother brother relationship helicopter based on novel","The Man Who Knew Too Little"
"2198",2197,"Comedy Romance","based on novel loser magazine womanizer mission","What's Your Number?"
"2199",2198,"Action Thriller Science_Fiction","usa president anti hero dementia future space","Lockout"
"2200",2199,"Comedy","jealousy inventor neighbor best friend milliionaire","Envy"
"2201",2200,"Action Thriller Crime","female nudity prostitute horse race heart strip club","Crank: High Voltage"
"2202",2201,"Action Comedy Thriller","lover (female) talent mafia boss author","Bullets Over Broadway"
"2203",2202,"Drama","based on novel persia queen esther","One Night with the King"
"2204",2203,"Drama Action Thriller Romance","terror journalist lover (female) saigon indochina","The Quiet American"
"2205",2204,"Comedy Drama","new york chicago midlife crisis television daughter","The Weather Man"
"2206",2205,"Action Adventure Drama Thriller","sport","Undisputed"
"2207",2206,"Comedy Fantasy Romance","dying and death misanthrope lecture cardiopulmonery resuscitation","Ghost Town"
"2208",2207,"Action Adventure Drama Thriller","police cops cat and mouse family revenge drama","12 Rounds"
"2209",2208,"Drama Horror Mystery","vampire child vampire remake bully young boy","Let Me In"
"2210",2209,"Adventure Action Comedy Family","underdog hero friendship treasure hunt friends","3 Ninjas Kick Back"
"2211",2210,"Drama Comedy","camcorder videoband delusion nuclear power plant video store","Be Kind Rewind"
"2212",2211,"Comedy Drama","world war ii widow musical theatre milieu nacktrevue","Mrs Henderson Presents"
"2213",2212,"Action Thriller","heist betrayal dirty cop","Triple 9"
"2214",2213,"Comedy Drama","new york writer's block insanity independent film author","Deconstructing Harry"
"2215",2214,"Comedy Romance","gay dance architect artist tango","Three to Tango"
"2216",2215,"Drama","london england cook restaurant diva career","Burnt"
"2217",2216,"Comedy Crime Drama","prison prisoner independent film","We're No Angels"
"2218",2217,"Music Comedy Romance","paris venice adultery robbery lovesickness","Everyone Says I Love You"
"2219",2218,"Action Crime Drama Thriller","loss of son repayment revenge murder gang","Death Sentence"
"2220",2219,"Drama","family relationships doctor retired visit widower","Everybody's Fine"
"2221",2220,"Comedy Family","baby baseball scientific study computer genius","Superbabies: Baby Geniuses 2"
"2222",2221,"Action Comedy Crime","mistake in person false identity arms dealer cop police officer","The Man"
"2223",2222,"Action Comedy Crime","","Code Name: The Cleaner"
"2224",2223,"Comedy","gay drag queen mistaken identity","Connie and Carla"
"2225",2224,"Comedy Drama Music Romance","broken engagement charity celebrity tragic love dancehall girl","Sweet Charity"
"2226",2225,"Comedy Romance Crime Drama Mystery","based on novel 1970s private investigator smoking marijuana los angeles","Inherent Vice"
"2227",2226,"Family","","Doogal"
"2228",2227,"Music Drama","musical 3d","Battle of the Year"
"2229",2228,"Comedy Fantasy","terrorist parody documentary filmmaker sattire","An American Carol"
"2230",2229,"Action Crime Thriller","mexico white house nuclear missile machete outer space","Machete Kills"
"2231",2230,"Horror","bad boss evil mother revenge humiliation obedience","Willard"
"2232",2231,"Comedy","tv show bigfoot","Strange Wilderness"
"2233",2232,"Comedy Drama Music","prostitute musical biography telephone call cigar smoking","Topsy-Turvy"
"2234",2233,"Comedy Drama War","japanese world war ii spirituality","Little Boy"
"2235",2234,"Drama Thriller","based on novel psychoanalysis sigmund freud biography spanking","A Dangerous Method"
"2236",2235,"Animation Science_Fiction Thriller","california detective based on novel dream undercover","A Scanner Darkly"
"2237",2236,"Drama","wave surfing sport mentor prot\u00e9g\u00e9 relationship santa cruz california","Chasing Mavericks"
"2238",2237,"Action Fantasy Horror Thriller","detective monster professor island museum","Alone in the Dark"
"2239",2238,"Comedy Drama Family Music","new jersey musical battle of the bands teenager rock band","Bandslam"
"2240",2239,"Drama Mystery Thriller","loss of husband reincarnation friends little boy independent film","Birth"
"2241",2240,"Crime Drama Thriller","corruption capitalism winter american dream immigrant","A Most Violent Year"
"2242",2241,"Drama Romance War History","nurse battle platoon veteran recruitment","Passchendaele"
"2243",2242,"Drama","biography","Flash of Genius"
"2244",2243,"Drama Music","rock and roll music style success john f. kennedy advancement","I'm Not There."
"2245",2244,"Action Thriller","kidnapping spying government","The Cold Light of Day"
"2246",2245,"Adventure Comedy Drama Romance","con man estafa","The Brothers Bloom"
"2247",2246,"Drama","new york man-woman relation writer","Synecdoche, New York"
"2248",2247,"Adventure Fantasy Animation","fight wolf village and town iron pan","Princess Mononoke"
"2249",2248,"Comedy Drama Foreign","","Bon voyage"
"2250",2249,"Comedy Music","camp disco woman director village people","Can't Stop the Music"
"2251",2250,"Action Adventure Crime Drama Thriller","gallows australia psychopath outlaw misanthrope","The Proposition"
"2252",2251,"Drama","american football biography sport championship","My All American"
"2253",2252,"Comedy","","Marci X"
"2254",2253,"Action Science_Fiction Thriller","resistance fascism totalitarian regime destroy phasing","Equilibrium"
"2255",2254,"Drama War","based on true story duringcreditsstinger","The Children of Huang Shi"
"2256",2255,"Drama Action Thriller Crime","corruption subway infiltration criminal","The Yards"
"2257",2256,"Family","","The Oogieloves in the Big Balloon Adventure"
"2258",2257,"Drama Romance","france hotel 1970s grief travel","By the Sea"
"2259",2258,"Animation Fantasy Science_Fiction","england inventor ball boy industrial revolution","Steamboy"
"2260",2259,"Drama","sport","The Game of Their Lives"
"2261",2260,"Drama Mystery Thriller Crime Romance","difficult childhood patriarch childhood trauma dysfunctional marriage","All Good Things"
"2262",2261,"Adventure","in love with enemy indigenous island","Rapa Nui"
"2263",2262,"Comedy Drama Family Fantasy Science_Fiction","little boy ufo extraterrestrial","CJ7"
"2264",2263,"Comedy Fantasy","mephisto french revolution time travel leap in time knight","The Visitors II: The Corridors of Time"
"2265",2264,"Action Comedy Horror Mystery Science_Fiction","detective vampire supernatural zombie werewolf","Dylan Dog: Dead of Night"
"2266",2265,"Drama Thriller","drug addiction press release from prison women's prison party","People I Know"
"2267",2266,"Drama Fantasy","shakespeare sword island frog sorcery","The Tempest"
"2268",2267,"Horror Mystery Thriller","investigation memory loss","Regression"
"2269",2268,"Action History Drama","warrior woman number in title","Three Kingdoms: Resurrection of the Dragon"
"2270",2269,"Crime Drama Thriller","chicago infidelity man-woman relation revenge","Butterfly on a Wheel"
"2271",2270,"Comedy Animation Adventure Family","falcon bird origin","Zambezia"
"2272",2271,"Drama History","mathematician biography prodigy ramanujam math genius","Ramanujan"
"2273",2272,"Animation","","Dwegons"
"2274",2273,"Drama","","Hands of Stone"
"2275",2274,"Thriller","new year's eve fire showdown terrorist embassy","Survivor"
"2276",2275,"Thriller Crime","gun escape serial killer man hunt hunting","The Frozen Ground"
"2277",2276,"Drama Romance","china cholera foreign aid epidemic loveless marriage","The Painted Veil"
"2278",2277,"Action Crime Drama History Thriller","terror raf 1970s","The Baader Meinhof Complex"
"2279",2278,"Adventure Drama Western","countryside based on novel suicide attempt culture clash loss of family","Dances with Wolves"
"2280",2279,"Comedy","classroom teacher school workplace humor","Bad Teacher"
"2281",2280,"Drama Crime Mystery","new york alcohol sex detective newspaper","Sea of Love"
"2282",2281,"Comedy","jealousy cinderella work step mother high school","A Cinderella Story"
"2283",2282,"Crime Horror Mystery","halloween gore serial killer slasher tabloid","Scream"
"2284",2283,"Horror Thriller","hunter nanny nudity collector house","Thir13en Ghosts"
"2285",2284,"Horror Thriller","hotel isolation hotelier colorado maze","The Shining"
"2286",2285,"Adventure Comedy Science_Fiction Family","clock tower car race terrorist delorean lightning","Back to the Future"
"2287",2286,"Horror Mystery Thriller","lunatic asylum aftercreditsstinger","House on Haunted Hill"
"2288",2287,"Drama Comedy","aunt duringcreditsstinger","I Can Do Bad All By Myself"
"2289",2288,"Action Drama","new jersey martial arts sister sport murder","Fight Valley"
"2290",2289,"Comedy Romance Drama","alcohol single parent baby restaurant aquarium","The Switch"
"2291",2290,"Comedy","venice france prison fire europe","Just Married"
"2292",2291,"Drama Action Thriller Crime War","palace impostor pervertion","The Devil's Double"
"2293",2292,"Animation Drama Family Science_Fiction","","Thomas and the Magic Railroad"
"2294",2293,"Mystery Horror Action","terror biological weapon cover-up splatter duringcreditsstinger","The Crazies"
"2295",2294,"Fantasy Adventure Animation Family","witch parents kids relationship magic twilight darkness","Spirited Away"
"2296",2295,"Action Crime","robbery street war gun battle rogue cop","Firestorm"
"2297",2296,"Action Drama History","female nudity exotic island mutiny lake nudity","The Bounty"
"2298",2297,"Drama","world war ii book nazi germany jewish","The Book Thief"
"2299",2298,"Comedy Adventure Romance","sex jealousy virgin nudity community","Sex Drive"
"2300",2299,"Romance Comedy","taxi bar wales marriage proposal airplane","Leap Year"
"2301",2300,"Drama History","roman empire ancient rome","The Fall of the Roman Empire"
"2302",2301,"Comedy Drama Romance","becoming an adult lie night sister job","Take Me Home Tonight"
